"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.405472103E0,8.655271530E-1,3.047948837E0,-5.110054493E0,6.012635553E0
1.410187051E0,6.154351234E-1,2.766937256E0,-1.408490539E0,3.165208961E0
1.414901999E0,5.986206532E-1,2.010813236E0,2.241657257E0,3.070300281E0
1.419616947E0,4.411728382E-1,1.206113815E0,4.093376637E0,4.290113786E0
1.424331843E0,-1.212983131E-1,3.917226791E-1,4.014451027E0,4.035341000E0
1.429046843E0,-8.785973787E-1,-4.077367783E-1,3.268675327E0,3.409167205E0
1.433761791E0,-1.441057682E0,-9.962224960E-1,2.426755667E0,2.993033506E0
1.438476739E0,-1.850302696E0,-1.254731178E0,1.592662454E0,2.744912401E0
1.443191686E0,-2.091501951E0,-1.331930161E0,7.534750104E-1,2.591552229E0
1.447906634E0,-2.369748116E0,-1.347434044E0,2.665309310E-1,2.739036942E0
1.452621582E0,-2.712568521E0,-1.305905342E0,-5.517864823E-1,3.060700094E0
1.457336530E0,-2.928638697E0,-1.140485764E0,-5.874249339E-1,3.197295802E0
1.462051478E0,-2.965583563E0,-1.290022850E0,-7.311494350E-1,3.315633321E0
1.466766374E0,-2.809974194E0,-1.805608749E0,-7.944667339E-2,3.341031233E0
1.471481322E0,-2.519836426E0,-1.970641136E0,7.705929875E-2,3.199834408E0
